ArticleId,ArticleTitle,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
-9166778629773133902,Google CDN Beta is here... and it's already one of the fastest CDNs out there!,How To Avoid Equidistant HSV Colors,"PostgreSQL Bloat: origins, monitoring and managing",MacOS Sierra Preview,Aligning text smartly in CSS,Peter Doig sued for disavowing 40-year-old painting
-9161596996229760398,Críticas de design: dizendo as coisas que precisam ser ditas,What exactly is a design culture? ,"contentId
6206342468637502921    Como contar histórias para marcas - Podcast A ...
6206342468637502921    Como contar histórias para marcas - Podcast A ...
Name: title, dtype: object",O tênue equilíbrio da equipe que desenha produtos digitais,#FinTech is all about human-centred design - Chris Skinner's blog,Chatbots: Are they better without the chat?
-9160910454530522563,"Apple's new file manager, APFS, is awesome",Spotify's Event Delivery - The Road to the Cloud (Part III),A New Number Format for Computers Could Nuke Approximation Errors for Good,Shutter Island (2010),CSS Containment in Chrome 52 | Web Updates - Google Developers,"Microsoft: Windows Phone is not the place to do ""new and exciting things"" - MSPoweruser"
-9157338616628196758,Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,O início problemático dos chatbots no Facebook Messenger,Por que o Walmart não é Walmart no Brasil,Why Walmart wants to buy Jet.com and what you need to know about the potential deal,Marketplace,Adopting Open Source Development Processes in Corporate IT
-9153494109165200346,"contentId
-9153494109165200346    Android N Developer Preview 2, out today! | An...
-9153494109165200346    Android N Developer Preview 2, out today! | An...
Name: title, dtype: object","contentId
-9153494109165200346    Android N Developer Preview 2, out today! | An...
-9153494109165200346    Android N Developer Preview 2, out today! | An...
Name: title, dtype: object",Sesi oferece curso de LIBRAS com certificação de 40 horas,"Android N Developer Preview 2, out today! | Android Developers Blog",Android Quickstart - Firebase,"ConstraintLayout, Inside and Out: Part 2"
-9152398073968262186,"Microsoft Is Now 'Open By Default', Says Xamarin Founder Miguel de Icaza","Microsoft Is Now 'Open By Default', Says Xamarin Founder Miguel de Icaza","Depois da Inteligência Artificial, vem aí a Inteligência Paralela",7 Ways Meditation Can Actually Change The Brain,Fintechs: elas podem dominar o setor financeiro?,Olhando para o futuro: 5 pontos de atenção
-9147114693160126293,Confira um relatório sobre a indústria das aceleradoras globais e conheça as tendências para os próximos anos - Startupi,"Recharge, used to book hotel rooms by the minute, raises $2.3 million","Primeira cidade inteligente brasileira, equipada com sensores, sistemas e soluções digitais, será desenvolvida por startup - Startupi",New Africa Trend Briefing from TrendWatching | THE FUTURE OF AFRICONNECTION,A compra de alimentos online é nova fronteira do e-commerce mundial,trendwatching.com | 5 Trends for 2017 | TrendWatching
-9137036168156595470,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",Dries Buytaert,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent",Software Architecture Patterns,"contentId
3399073250354435892    Introducing the Workspace Preview System | Acq...
3399073250354435892    Introducing the Workspace Preview System | Acq...
Name: title, dtype: object",3. The case for Drupal and SaaS
-9128741757954228992,Confirmed: Walmart buys Jet.com for $3B in cash,Automation and anxiety,Building organizational capabilities: McKinsey Global Survey results,Magic Quadrant for Business Intelligence and Analytics Platforms,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations
-9128652074338368262,Clarifying the uses of artificial intelligence in the enterprise,The return of the machinery question,Finding The Meaning Of Artificial Intelligence At Google I/O,Artificial Intelligence's White Guy Problem,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion"
-9107331682787867601,Hopper raises $16 million for a travel app that tells you the best time to fly,How people using Slack to organise their grocery lists is helping it grow,Platforms are the real powerhouses in Silicon Valley's business landscape,"Predicting the future, one week at a time",Ingenious Shirt Uses Recognizable Icons to Help Break Language Barriers When Traveling,Slack raises $200m at $3.8b valuation for business messaging
-9105040345021932755,Lições de empreendedorismo com a série The 100,The Progress of Web Apps - On the Edge,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",The Art Of Layout Testing With Galen Framework - Smashing Magazine,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery
-9103776596534246502,What Is a Good Retention Rate for Online Software,Como o Trello foi de 4 a 17 milhões de usuários,Family photo sharing platform Togethera shutters after low growth numbers,Relating a Problem Definition to IoT Architecture | Intel® Software,New Trend Briefing from TrendWatching | RECONCILIATION BRANDS,Visa traz pagamentos móveis ao Brasil junto com Samsung - Startupi
-9102431381393428051,"contentId
-9102431381393428051    How Leaders Can Let Go Without Losing Control
-9102431381393428051    How Leaders Can Let Go Without Losing Control
Name: title, dtype: object",5 motivos para não escrever 5 motivos,Google Calendar's newest feature uses machine learning to help you actually accomplish your goals,4 Reasons Managers Should Spend More Time on Coaching,Changing change management,Most People Say They Could Get Rid of Tons of Stuff and Still Be Happy
-9100490342054218852,What Happens When You Combine Artificial Intelligence and Satellite Imagery,Three Platforms Bringing Bitcoin To Social Messaging Users,Debug Site Performance Using Web Profiler in Drupal 8,Customer Supplied Encryption Keys in Cloud Storage now in beta,Deep Learning Demystified,Meet Aquifer: A build system for easier Drupal development
-9099155556042679205,CCR vende dona do Sem Parar por R$ 4 bi | EXAME.com,The SFMOMA's New App Will Forever Change How You Enjoy Museums,"contentId
9033884391004475493    The Art of the OKR
9033884391004475493    The Art of the OKR
Name: title, dtype: object","contentId
4315784099325221836    tins ::: Rick Klau's weblog
4315784099325221836    tins ::: Rick Klau's weblog
Name: title, dtype: object","Ava wants to molecularly replicate high-end wines, no grapes necessary",Senior Solution paga R$ 50 mi pela att/PS e reforça portfólio com software para core banking
-9095002324981651252,Kroton prepara oferta pelo controle da Estácio - Primeiro Lugar On-line,Dasa compra maior rede de laboratórios do Nordeste,A saga do jovem CEO da Dasa,Services ,Governo brasileiro cria manual para contratação de cloud,6 exemplos de como usar computação cognitiva | EXAME.com
-9092333155845304874,A Voz Da Marca #2 - De onde vêm as histórias by A Voz da Marca,Return of incandescent light bulbs as MIT makes them more efficient than LEDs,"contentId
6206342468637502921    Como contar histórias para marcas - Podcast A ...
6206342468637502921    Como contar histórias para marcas - Podcast A ...
Name: title, dtype: object",8 Old School SEO Practices That Are No Longer Effective - Whiteboard Friday,Terms Aggregation in Elastic Search,"Introducing a new developer show ""Machine Learning: Recipes for New Developers"""
-9090514312860140897,OpenBazaar is Open for Business,Honda fortalece estratégia para desenvolver tecnologias inteligentes - B!T magazine,Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,Cloud Storage Goes Mainstream: Storj Launches Beta Joining Azure BaaS,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'","Band plays on, as global oil glut leaves supertankers in a huge jam"
-9089854794058353436,Here's how The White House wants the U.S. to approach AI R&D,Innovation is in all the wrong places,TensorFlow v0.9 now available with improved mobile support,The Blockchain is the new Google,How Did Q1 2016 Go for FinTech Around the World?,Rewiring Citi for the digital age
-9086955082453789880,We are on the verge of a consumer M&A avalanche,The Competitive Landscape for Machine Intelligence,Understanding the Twitter topic Tracker,Innovation is in all the wrong places,Why Steve Jobs Was Proud to Steal Ideas,2016 will be the year of conversational commerce - Chris Messina
-9083294960368598209,Drupal How-To: Responsive or Adaptive Images? | Acquia,Unknown NEO GEO MVS Fighting Game Discovered & Dumped - Arcade Heroes,The Ultimate Digital Clean-Up Checklist: Are You Prepared For The New Year? - Smashing Magazine,20 Awesome PHP Libraries For Summer 2016,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Cloud Identity and Access Management - Google IAM
-9081753261356157170,Uso de API's no mercado de serviços financeiros,4 Strategies for Mastering UX in Virtual Reality Games,New Asia Trend Briefing from TrendWatching | SOCIAL SERVANTS,The Future of Digital Banking is Now,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,LOGOBR School | Behance Reviews Campinas 2016
-9080873096647717414,3 Skills That All Emotionally Intelligent People Master,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o...",Cientistas trabalham em técnica que permite imprimir alimentos,Por que a limitação da banda larga é uma forma de ignorar o futuro,Shutter Island (2010),The best-and worst-places to be a working woman
-9076501258717815738,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,A Data Engineer's Guide To Non-Traditional Data Storages,Gartner Reprint
-9073210245497295284,Number plate recognition with Tensorflow,Auka brings Google Cloud-powered banking to Europe,Google cloud to OpenStack users: Come on in!,Conversational Banking; from branches to bots. - Chatbots Magazine,How to write a hypothesis,New Sessions Added To Google I/O 2016 Schedule
-9071883412530082330,Singapore bank wants you to talk to its chatbot to get your banking done,"thinkseg traz o seguro ""pague conforme você usa"" para taxistas",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Martech and ad tech convergence: myth or reality?,77 Startups Powering The Future Of Farming And Agribusiness,A smart home is where the bot is
-9064100704535292718,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,Now sites can fingerprint you online even when you use multiple browsers,"[1701.02952] Unhappy Developers: Bad for Themselves, Bad for Process, and Bad for Software Product",Lossless Web Navigation with Trails,Announcing .NET Core 1.0,"Microservices Reference Architecture, Part 4 -12‑Factor App"
-9056114023474725450,Acquia Engage 2016: Day One,Sharing innovation with your competitors - Dries Buytaert,Introducing Docker for Windows Server 2016 - Docker Blog,Load Testing Our Site on Pantheon (Drupalize.me),Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Bringing Pokémon GO to life on Google Cloud
-9055044275358686874,Accept questions from your audience when presenting in Google Slides,7 lessons about finding the work you were meant to do,"Apple, Set to Move to Its Spaceship, Should Try More Moonshots",Microsoft wants to connect all your favorite apps with Flow,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
-9050450867630628092,Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One,Apple Unveils iPhone 7 Alongside 7 Plus With Dual-Lens Camera,A Baseline for Hybrid Mobile Developers,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js
-9045753673721269477,BIG BRAND REDEMPTION | New free Trend Briefing from TrendWatching,"Jamf conference: IBM cutting costs w/ largest enterprise Mac deployment, 100,000 by end of year","contentId
-5808672937983623398    How Netflix does A/B testing - InVision Blog
-5808672937983623398    How Netflix does A/B testing - InVision Blog
Name: title, dtype: object","contentId
5817939718364925129    Today in Apple history: Steve Jobs passes away...
5817939718364925129       Today in Apple history: Steve Jobs passes away
Name: title, dtype: object","contentId
8200662919796009914    Cartography Comparison: Google Maps & Apple Maps
8200662919796009914    Cartography Comparison: Google Maps & Apple Maps
Name: title, dtype: object",Today in Apple history: Steve Jobs resigns as Apple CEO
-9041823059579281174,Free online Game AI Classes - Apex Game Tools,Fileless Malware - A Behavioural Analysis Of Kovter Persistence,The Challenge of Determining Whether an A.I. Is Sentient,Generative Models,"contentId
-4187268503708157132    A Single App That'll Wrangle Your Millions of ...
-4187268503708157132    A Single App That'll Wrangle Your Millions of ...
Name: title, dtype: object","contentId
8219310215587599928    Fooling The Machine
8219310215587599928    Fooling The Machine
Name: title, dtype: object"
-9041546321432974047,Browser Ball,Anaqueen Skywalker: um mashup de Star Wars com Bohemian Rhapsody,Google releases keyboard for the iPhone with built-in search features,Infrequently Noted,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",Progressive Web App - first introduced on Google I/O | airberlin
-9040419159428373932,"Depois da Inteligência Artificial, vem aí a Inteligência Paralela","Microsoft Is Now 'Open By Default', Says Xamarin Founder Miguel de Icaza","Depois da Inteligência Artificial, vem aí a Inteligência Paralela",7 Ways Meditation Can Actually Change The Brain,Fintechs: elas podem dominar o setor financeiro?,Olhando para o futuro: 5 pontos de atenção
-9039021554659316935,Concurso Literário Leia Mulheres + Sweek | Sweek,Promoting gender equality through emoji �� ��,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Asus ready to take bite of 'Pi' market with Tinker micro PC,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Google's Tensor Processing Unit explained: this is what the future of computing looks like
-9033346036688923648,Software Architecture Patterns,Software Architecture Patterns,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent","contentId
-2377881752614744441    Certeza que devemos marcar uma reunião?
-2377881752614744441    Certeza que devemos marcar uma reunião?
Name: title, dtype: object",Lançado 1º E-commerce de Mão de Obra Operacional do Brasil,8 Books Stanford MBAs Recommend You Read This Summer
-9033211547111606164,Google's Cloud Machine Learning service is now in public beta,The emerging Darwinian approach to analytics and augmented intelligence,Graph-powered Machine Learning at Google,Services | RaRe Technologies,Google's new NHS deal is start of machine learning marketplace,"contentId
8381798621267347902    Approaching (Almost) Any Machine Learning Problem
8381798621267347902    Approaching (Almost) Any Machine Learning Problem
Name: title, dtype: object"
-9028990334396397584,Xamarin for Everyone,Modelando APIs REST com Swagger,The Ultimate Solution to Versioning REST APIs: Content Negotiation,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Desenvolvimento Efetivo na Plataforma Microsoft: o livro.,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
-9020955625521881630,KFC chinês adota robô que escaneia clientes para sugerir menu - Startupi,Asus ready to take bite of 'Pi' market with Tinker micro PC,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Signs suggest that 101Hero, the $49 3D printer, was too good to be true",New Trend Briefing from TrendWatching | AUTONOMANIA!,Google's Tensor Processing Unit explained: this is what the future of computing looks like
-9019582414165805420,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,Santander Brasil gera 21% do resultado da matriz no 4º trimestre,"Santander Brasil tem lucro gerencial de R$ 1,989 bi no 4º trimestre",Endered e Small World fazeme parceria para remessas de valores através de cartões,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho."
-9019233957195913605,Berners-Lee quer criar outra Web,Pinterest Acquires Read-It-Later App Instapaper,Clean Coder Blog,Anti-If: The missing patterns,Alecrim/AlecrimCoreData,Programming by poking: why MIT stopped teaching SICP
-9007594455502730692,Unknown NEO GEO MVS Fighting Game Discovered & Dumped - Arcade Heroes,Mining in Space Could Lead to Conflicts on Earth - Facts So Romantic - Nautilus,Drupal How-To: Responsive or Adaptive Images? | Acquia,Kite wants to be every developer's pair-programming buddy,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,Deep learning will be huge - and here's who will dominate it
-9002191823887486987,Is the Chatbot Trend One Big Misunderstanding?,Pinterest Reinvents Itself to Prove It's Really Worth Billions,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack","Dag Kittlaus, co-founder of Siri, will give the world's first demo of a next gen AI called Viv at Disrupt NY","Google's I/O Is a Little Like Disneyland, and a Little Like a Garage Sale",Behold.ai launches artificially intelligent medical software to find abnormalities faster
-8996656559398843485,Esse bot do Facebook Messenger te ajuda a estudar para o ENEM,8 Old School SEO Practices That Are No Longer Effective - Whiteboard Friday,Return of incandescent light bulbs as MIT makes them more efficient than LEDs,"Introducing a new developer show ""Machine Learning: Recipes for New Developers""",Why Deep Learning Is Suddenly Changing Your Life,Terms Aggregation in Elastic Search
-8992803137960175254,4 Reasons Managers Should Spend More Time on Coaching,Investimentos em coaching e mentoring aumentam nas empresas,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-8992201526199201450,15 Awesome Sublime Text Plugins For Web Development,TypeScript 2.0 is now available!,O WhatsApp do Google chegou e se chama Allo,The Progress of Web Apps - On the Edge,Google releases keyboard for the iPhone with built-in search features,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card"
-8984665034930053829,An Introduction to Elasticsearch Aggregations,Will Google NLI kill the market? Linguistic APIs review,8 Old School SEO Practices That Are No Longer Effective - Whiteboard Friday,Return of incandescent light bulbs as MIT makes them more efficient than LEDs,Terms Aggregation in Elastic Search,"Introducing a new developer show ""Machine Learning: Recipes for New Developers"""
-8980834789053459155,Ingenious Shirt Uses Recognizable Icons to Help Break Language Barriers When Traveling,Slack raises $200m at $3.8b valuation for business messaging,Ingenious Shirt Uses Recognizable Icons to Help Break Language Barriers When Traveling,Platforms are the real powerhouses in Silicon Valley's business landscape,How to grow your startup with no budget,The Startup Zeitgeist
-8971085667828564532,Introducing online resizing of Google Cloud Persistent Disks without downtime,Google Is About to Supercharge Its TensorFlow Open Source AI,Banca IMI Researcher: Blockchain Won't Work if Business Models Don't Change - CoinDesk,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic","Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'",Google believes its superior AI will be the key to its future
-8968101771604200516,Olhando para o futuro: 5 pontos de atenção,"Depois da Inteligência Artificial, vem aí a Inteligência Paralela","Microsoft Is Now 'Open By Default', Says Xamarin Founder Miguel de Icaza","Windows 10 Mobile news recap: Nadella teases ""ultimate"" device, Surface Phone spec rumors and more | On MSFT",7 Ways Meditation Can Actually Change The Brain,Fintechs: elas podem dominar o setor financeiro?
-8964534883296838326,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,USB-C and Lightning headphones,Alphabet testará drones de entrega nos Estados Unidos,9 Rules of Open-Office Etiquette,New settings for 2-Step Verification,Get ready for Google I/O 2016
-8962700386317589038,Bash on Ubuntu on Windows - Download Now!,This is the flying chainsaw drone you knew was coming,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Android Studio 2.0 | Android Developers Blog,Introducing Ask a Female Engineer
-8954346068661072425,The technology behind preview photos,Lady Gaga's startup Backplane burns out and sells assets,The Color of Paradise (1999),All About Eve (1950),Sunset Blvd. (1950),"The inside story of how Amazon created Echo, the next billion dollar business no one saw coming"
-8950763842769120954,Mobify report reveals impact of mobile website speed,Yahoo discloses hack of 1 billion accounts,Getting Ready For HTTP/2: A Guide For Web Designers And Developers - Smashing Magazine,"Front-End Performance Checklist 2017 (PDF, Apple Pages) - Smashing Magazine","contentId
7944907848226041964    Cego é destaque entre os fotógrafos que regist...
7944907848226041964    Cego é destaque entre os fotógrafos que regist...
Name: title, dtype: object",Facebook now flags and down-ranks fake news with help from outside fact checkers
-8949113594875411859,"No Brasil, '25% dos celulares ainda são 'Burrofones'",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Fusão de startups cria uma das maiores de tecnologia em saúde do Brasil,Patente do Google prevê carro que gruda pedestres atingidos no capô,Oldboy (2003),Um objeto longínquo mais distante que Plutão está entrando em foco
-8948234514303933700,Nova pulseira tecnológica avisa se você já bebeu demais,New Trend Briefing from TrendWatching | AUTONOMANIA!,Asus ready to take bite of 'Pi' market with Tinker micro PC,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Put a ring on it: three smart rings with plenty of beauty and brains,Google's Tensor Processing Unit explained: this is what the future of computing looks like
-8947720860550700506,Walmart compra startup para brigar com Amazon | EXAME.com,Management theory is becoming a compendium of dead ideas,Spotify Raises $1 Billion in Debt Financing,"Where, how much, and how: Answering the hardest questions of resource allocation",America's allies are preparing for a bumpy ride,Tailoring your integration approach to specific deals
-8942026248671582808,German insurance startup Clark closes €13.2M Series A,I'm trying my hardest to slow the fuck down - HI MY NAME IS JON,"JPMorgan Software Does in Seconds What Took Lawyers 360,000 Hours",What DeepMind brings to Alphabet,MIT and Microsoft Research made a 'smart' tattoo that remotely controls your phone,"De Zelotes ao ""projeto secreto de TI"": diretores do Bradesco respondem dúvidas do mercado"
-8939172344092554931,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,Debug Site Performance Using Web Profiler in Drupal 8,The incestuous relations among containers orchestration tools,Why Is Learning Drupal Hard?,Customer Supplied Encryption Keys in Cloud Storage now in beta,How We Migrated Our Backend to Spring Boot in 3 Weeks - Stormpath User Identity API
-8937070974333045193,Adopting Open Source Development Processes in Corporate IT,O início problemático dos chatbots no Facebook Messenger,Por que o Walmart não é Walmart no Brasil,Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Marketplace
-8935051432668167578,The Big Lebowski (1998),The Big Lebowski (1998),Labyrinth of Lies (2014),Punch-Drunk Love (2002),Requiem for a Dream (2000),Dogville (2003)
-8934199835393138432,[PayPal] Postos Shell adotam pagamento no smartphone,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",[Course] Gamification - University of Pennsylvania | Coursera,Correntistas podem renegociar dívidas com o banco pela internet,[Canais Digitais] Banco Agiplan lança app que elimina intermediários ou pagamento de taxas - E-Commerce News,Sony Smart Tennis Sensor for Tennis Rackets
-8933526098329881084,RecyclerView Prefetch - Google Developers,Building interfaces with ConstraintLayout - Google Developers,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,10 things we learned from Tim Cook's most revealing interview yet | Cult of Mac,"Fresco, sim! - Android Dev BR",Announcing updates to Google's Internet of Things platform: Android Things and Weave
-8913397556833789413,Falling for Web Components,"Front-End Performance Checklist 2017 (PDF, Apple Pages) - Smashing Magazine",Getting Ready For HTTP/2: A Guide For Web Designers And Developers - Smashing Magazine,"contentId
7944907848226041964    Cego é destaque entre os fotógrafos que regist...
7944907848226041964    Cego é destaque entre os fotógrafos que regist...
Name: title, dtype: object",Yahoo discloses hack of 1 billion accounts,Facebook now flags and down-ranks fake news with help from outside fact checkers
-8909927294729358771,"Android N Developer Preview 2, out today! | Android Developers Blog",Tecnologia para colher mais e o uso do GPS,"contentId
-9153494109165200346    Android N Developer Preview 2, out today! | An...
-9153494109165200346    Android N Developer Preview 2, out today! | An...
Name: title, dtype: object",Sesi oferece curso de LIBRAS com certificação de 40 horas,"ConstraintLayout, Inside and Out: Part 2",Android Quickstart - Firebase
-8908991577172785311,"Bots need a personality, not a brain like a vending machine",What the future will look like when we use chatbots instead of apps,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,App do YouTube ganha sistema de bate-papo privado | Google Discovery,App do Google Search para Android agora busca por músicas no Brasil | Google Discovery,Confira um relatório sobre a indústria das aceleradoras globais e conheça as tendências para os próximos anos - Startupi
-8900307211613973542,How Machine Learning Will Change Our Relationship to Food,TF-Slim: A high level library to define complex models in TensorFlow,"contentId
-7356135999773525293    Fooling The Machine
-7356135999773525293    Fooling The Machine
Name: title, dtype: object","contentId
1433951803438448289    Creative partnerships: Machine learning and th...
1433951803438448289    Creative partnerships: Machine learning and th...
Name: title, dtype: object","contentId
8219310215587599928    Fooling The Machine
8219310215587599928    Fooling The Machine
Name: title, dtype: object","contentId
-456574518348806233    A Single App That'll Wrangle Your Millions of ...
-456574518348806233    A Single App That'll Wrangle Your Millions of ...
Name: title, dtype: object"
-8900113512825364282,Banking Needs a Customer Experience Wake-Up Call,Confused by blockchains? Revolution vs Evolution,How Blockchain Technology Can Improve the Insurance Industry,"Santander Brasil tem lucro gerencial de R$ 1,989 bi no 4º trimestre",Santander Brasil gera 21% do resultado da matriz no 4º trimestre,Endered e Small World fazeme parceria para remessas de valores através de cartões
-8885776096632729273,Criador do Ubuntu diz que o sistema soluciona o problema de segurança na Internet das Coisas,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",New ways to keep data flowing between your apps and ours,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,App do Google Search para Android agora busca por músicas no Brasil | Google Discovery,Google moves to replace Flash with HTML5
-8879983698341300928,Boot camp São Paulo/SP :: Torne-se um Service Design Sprint Master,Global Blockchain Forum Launched to Coordinate Regulatory Interoperability and Best Practices,Barclays finally launches Apple Pay | The Memo,Blockchain CEO's Business Advice on Bitcoin Startups,"Band plays on, as global oil glut leaves supertankers in a huge jam",The Blockchain is the new Google
